Date,Time,Voltage_V,CPU_Load_Pct,Temperature_C,Fan_RPM,Label
1.7.2026,59:44.0,0.663,39.9,55,7308,1
1.7.2026,58:41.8,1.0,88.6,79,7281,1
1.7.2026,24:49.5,0.866,39.2,59,4996,0
1.7.2026,28:00.0,0.736,34.5,55,4996,0
1.7.2026,58:19.7,1.022,49.5,72,7349,1
1.7.2026,12:07.1,0.792,20.5,51,4818,0
1.7.2026,14:44.6,0.721,100.0,65,7241,2
1.7.2026,41:33.0,1.041,24.3,71,5028,1
1.7.2026,56:55.3,1.001,39.7,69,7268,1
1.7.2026,46:40.3,0.802,34.3,48,7295,1
1.7.2026,21:40.9,0.802,30.0,55,4996,0
1.7.2026,09:14.7,0.772,44.7,50,4812,0
1.7.2026,50:21.5,0.771,50.5,54,7295,1
1.7.2026,30:34.4,0.721,10.2,49,4783,0
1.7.2026,11:00.5,0.946,100.0,100,7295,2
1.7.2026,08:00.4,0.886,34.4,61,4818,0
1.7.2026,08:50.6,0.814,16.6,52,4812,0
1.7.2026,42:19.1,0.99,25.2,64,4990,1
1.7.2026,58:07.6,0.69,39.6,57,7308,1
1.7.2026,53:27.9,1.0,44.4,81,5028,0
1.7.2026,29:58.3,0.866,20.7,52,4783,0
1.7.2026,57:18.6,0.912,17.4,62,4990,0
1.7.2026,07:34.4,0.786,43.3,54,4812,0
1.7.2026,10:28.8,0.831,26.1,61,4777,0
1.7.2026,24:31.4,0.647,52.9,71,5002,0
1.7.2026,53:08.3,0.817,23.7,49,7268,1
1.7.2026,16:17.9,0.926,18.2,57,4807,0
1.7.2026,47:50.6,0.673,40.4,48,7295,1
1.7.2026,12:41.2,0.734,13.6,55,4789,0
1.7.2026,07:18.3,0.746,10.2,48,4777,0
1.7.2026,10:46.8,0.944,19.0,51,4777,0
1.7.2026,09:30.7,0.716,18.7,48,4818,0
1.7.2026,55:30.2,0.792,28.8,58,5028,0
1.7.2026,14:36.6,0.723,100.0,67,7308,2
1.7.2026,11:43.1,0.659,43.8,54,4795,0
1.7.2026,11:22.5,0.861,100.0,93,7363,2
1.7.2026,55:32.3,0.99,28.3,69,5028,0
1.7.2026,13:52.6,0.791,100.0,76,7308,2
1.7.2026,44:49.9,0.996,48.5,62,7268,1
1.7.2026,57:10.5,0.722,18.8,58,4996,0
1.7.2026,56:38.4,0.873,18.0,58,5034,0
1.7.2026,19:42.6,0.738,18.3,56,4842,0
1.7.2026,21:59.0,0.735,41.6,63,4990,0
1.7.2026,59:31.0,0.927,17.7,59,5034,0
1.7.2026,54:14.0,0.831,17.0,63,5028,0
1.7.2026,00:20.2,0.681,77.8,57,7308,1
1.7.2026,17:34.7,0.762,100.0,66,7349,2
1.7.2026,59:23.9,1.029,53.8,73,7308,1
1.7.2026,54:04.5,0.992,54.2,64,7308,1
1.7.2026,19:32.9,0.769,100.0,69,7308,2
1.7.2026,12:15.1,0.996,42.7,66,4812,0
1.7.2026,40:22.6,1.001,37.9,58,5028,1
1.7.2026,53:21.9,0.867,50.0,62,5034,0
1.7.2026,11:17.0,0.988,22.5,58,4824,0
1.7.2026,28:54.1,0.664,23.5,50,5028,0
1.7.2026,16:32.8,0.689,100.0,62,7295,2
1.7.2026,54:22.0,0.806,21.3,56,4990,0
1.7.2026,44:17.7,0.737,30.9,47,7295,1
1.7.2026,15:42.9,0.703,100.0,63,7295,2
1.7.2026,18:20.3,0.711,39.4,58,4812,0
1.7.2026,15:20.7,0.706,100.0,64,7336,2
1.7.2026,54:44.1,0.937,16.5,55,4996,0
1.7.2026,12:47.2,0.916,36.6,52,4812,0
1.7.2026,23:17.2,0.788,18.8,51,4990,0
1.7.2026,17:04.8,0.747,100.0,62,7308,2
1.7.2026,12:18.6,0.88,100.0,92,7281,2
1.7.2026,57:21.4,0.664,57.4,56,7322,1
1.7.2026,53:40.5,1.001,47.7,62,7295,1
1.7.2026,26:37.8,0.906,35.6,62,4990,0
1.7.2026,54:40.1,0.886,14.3,61,4990,0
1.7.2026,15:54.8,0.703,100.0,62,7281,2
1.7.2026,17:16.8,0.742,100.0,64,7322,2
1.7.2026,58:59.8,0.937,55.0,72,7281,1
1.7.2026,02:45.6,0.957,34.8,55,4783,0
1.7.2026,59:19.9,0.777,76.2,60,7281,1
1.7.2026,14:24.6,0.741,100.0,68,7349,2
1.7.2026,24:01.3,0.906,22.3,57,4990,0
1.7.2026,58:44.9,0.937,24.7,62,4996,0
1.7.2026,58:04.7,0.829,30.1,61,4996,0
1.7.2026,14:48.6,0.722,100.0,66,7349,2
1.7.2026,02:53.6,0.807,20.4,53,4783,0
1.7.2026,59:03.0,1.001,14.1,64,5034,0
1.7.2026,19:18.8,0.776,100.0,70,7308,2
1.7.2026,47:16.5,0.667,28.8,47,7281,1
1.7.2026,48:32.9,0.996,89.5,74,7268,1
1.7.2026,52:18.1,0.728,15.6,49,7241,1
1.7.2026,20:02.7,0.802,32.5,56,4812,0
1.7.2026,11:04.9,0.742,25.9,55,4824,0
1.7.2026,18:03.0,0.751,100.0,67,7322,2
1.7.2026,23:45.3,0.85,37.8,56,4983,0
1.7.2026,23:15.2,0.807,46.0,52,5002,0
1.7.2026,27:56.0,0.783,36.0,60,5002,0
1.7.2026,49:33.2,0.661,39.7,51,7308,1
1.7.2026,53:15.9,0.827,51.5,72,5028,0
1.7.2026,20:14.8,0.917,53.5,64,4783,0
1.7.2026,43:55.6,0.846,18.6,46,7308,1
1.7.2026,05:26.0,0.847,29.4,52,4783,0
1.7.2026,07:36.4,0.911,48.0,68,4818,0
1.7.2026,22:53.1,0.706,27.8,51,4990,0
1.7.2026,09:34.7,0.759,19.8,49,4795,0
1.7.2026,00:59.3,0.751,30.8,51,4964,0
1.7.2026,01:53.4,0.757,26.9,53,4996,0
1.7.2026,13:45.4,0.914,28.8,62,4818,0
1.7.2026,28:56.1,0.665,9.1,49,5021,0
1.7.2026,25:49.6,0.661,23.4,52,4996,0
1.7.2026,41:18.9,0.951,45.0,63,5028,1
1.7.2026,08:14.5,0.74,18.5,53,4754,0
1.7.2026,06:48.2,0.664,13.6,49,4789,0
1.7.2026,14:13.5,0.951,23.4,57,4996,0
1.7.2026,54:12.6,0.96,60.7,60,7322,1
1.7.2026,55:18.2,1.001,25.3,62,5028,0
1.7.2026,20:50.8,0.754,36.9,56,4789,0
1.7.2026,58:17.7,1.001,51.2,68,7322,1
1.7.2026,00:16.2,0.904,48.1,66,7295,1
1.7.2026,11:41.1,0.746,32.0,54,4783,0
1.7.2026,07:02.3,0.666,11.3,48,4795,0
1.7.2026,52:43.8,0.827,45.1,71,4812,0
1.7.2026,18:08.3,0.786,17.8,53,4812,0
1.7.2026,05:19.9,0.757,14.1,51,4789,0
1.7.2026,48:06.7,0.666,25.8,48,7281,1
1.7.2026,42:47.3,0.669,37.0,51,5028,1
1.7.2026,58:48.9,0.733,27.4,60,4964,0
1.7.2026,28:38.1,0.866,26.9,53,4964,0
1.7.2026,19:08.5,0.807,21.0,63,4818,0
1.7.2026,30:32.4,0.711,13.0,50,4777,0
1.7.2026,12:45.2,0.984,55.8,63,4818,0
1.7.2026,00:13.2,0.983,21.4,57,5021,0
1.7.2026,52:24.1,0.677,26.8,51,7419,1
1.7.2026,21:43.4,0.742,100.0,65,7281,2
1.7.2026,48:14.7,0.673,46.9,49,7281,1
1.7.2026,01:17.3,0.85,27.1,59,4996,0
1.7.2026,26:45.8,0.886,53.7,68,4996,0
1.7.2026,49:55.3,0.927,45.2,69,7281,1
1.7.2026,00:41.2,0.846,14.9,53,4996,0
1.7.2026,20:00.9,0.741,100.0,69,7281,2
1.7.2026,55:04.8,0.661,36.8,50,7281,1
1.7.2026,57:34.6,0.912,15.3,59,4996,0
1.7.2026,18:50.4,0.667,49.9,55,4812,0
1.7.2026,50:49.6,0.996,43.1,71,7281,1
1.7.2026,15:05.6,0.697,11.6,49,5015,0
1.7.2026,50:53.7,1.027,48.8,70,7281,1
1.7.2026,25:13.5,0.786,50.3,62,5002,0
1.7.2026,45:03.9,1.001,42.5,61,7281,1
1.7.2026,55:02.8,1.001,38.6,57,7281,1
1.7.2026,02:51.6,0.729,11.2,53,4795,0
1.7.2026,13:23.3,0.829,35.1,61,4807,0
1.7.2026,14:02.6,0.765,100.0,74,7201,2
1.7.2026,01:03.2,0.792,24.0,51,5002,0
1.7.2026,24:27.4,0.774,22.1,71,4990,0
1.7.2026,40:20.6,0.664,20.7,49,5015,1
1.7.2026,38:30.2,0.929,37.8,61,4818,1
1.7.2026,16:36.0,0.797,23.6,52,4818,0
1.7.2026,50:33.5,1.001,50.8,72,7295,1
1.7.2026,17:01.0,0.717,100.0,61,7295,2
1.7.2026,46:32.3,0.673,24.8,48,7281,1
1.7.2026,29:32.2,0.915,27.6,57,5002,0
1.7.2026,11:29.0,0.761,30.0,53,4812,0
1.7.2026,55:02.2,0.846,19.4,55,5028,0
1.7.2026,07:06.3,0.699,9.8,48,4801,0
1.7.2026,12:21.1,0.805,13.0,55,4795,0
1.7.2026,03:49.7,0.661,19.6,52,4789,0
1.7.2026,52:53.8,0.906,32.9,66,4783,0
1.7.2026,16:24.8,0.733,100.0,62,7281,2
1.7.2026,45:22.0,0.667,33.7,52,7295,1
1.7.2026,05:30.0,0.852,14.7,51,4789,0
1.7.2026,08:02.4,0.894,43.5,57,4818,0
1.7.2026,42:33.2,0.681,41.0,51,4971,1
1.7.2026,11:50.6,0.885,100.0,92,7336,2
1.7.2026,56:51.2,0.681,27.7,54,7295,1
1.7.2026,54:38.7,0.665,32.5,51,7281,1
1.7.2026,11:42.5,0.867,100.0,94,7349,2
1.7.2026,00:27.3,0.909,33.8,63,5021,0
1.7.2026,48:08.7,0.666,30.4,48,7268,1
1.7.2026,08:46.5,0.662,43.5,51,4818,0
1.7.2026,46:36.3,0.666,21.2,48,7308,1
1.7.2026,44:09.7,0.669,17.2,45,7308,1
1.7.2026,30:24.3,0.799,29.2,50,4783,0
1.7.2026,05:56.0,0.862,11.6,51,4789,0
1.7.2026,18:48.8,0.776,100.0,70,7336,2
1.7.2026,13:06.6,0.834,100.0,82,7377,2
1.7.2026,10:36.8,0.926,30.8,54,4789,0
1.7.2026,52:36.2,0.969,24.9,52,7349,1
1.7.2026,20:52.8,0.935,38.5,62,4783,0
1.7.2026,52:29.7,0.91,89.6,81,4812,0
1.7.2026,07:10.3,0.682,9.8,47,4789,0
1.7.2026,42:17.1,0.904,25.2,62,5002,1
1.7.2026,25:51.6,0.904,22.8,64,4990,0
1.7.2026,41:53.1,0.696,26.8,52,4996,1
1.7.2026,19:06.5,0.751,11.8,52,4807,0
1.7.2026,58:37.7,0.769,40.1,55,7336,1
1.7.2026,05:17.9,0.695,14.8,51,4783,0
1.7.2026,56:23.2,0.71,57.8,56,7308,1
1.7.2026,39:38.5,0.664,14.8,49,5073,1
1.7.2026,15:21.7,0.663,28.1,49,4818,0
1.7.2026,02:09.4,0.822,58.0,57,5009,0
1.7.2026,11:34.6,0.907,100.0,92,7322,2
1.7.2026,53:19.9,0.728,58.5,72,5028,0
1.7.2026,18:38.9,0.758,100.0,68,7308,2
1.7.2026,06:06.1,0.965,38.1,51,4789,0
1.7.2026,01:47.3,0.666,12.1,49,4990,0
1.7.2026,03:21.7,0.743,29.9,55,4789,0
1.7.2026,58:42.9,0.927,45.8,59,4996,0
1.7.2026,21:29.0,0.747,100.0,66,7322,2
1.7.2026,56:15.1,0.999,45.5,67,7268,1
1.7.2026,08:24.5,0.999,47.1,67,4818,0
1.7.2026,04:57.9,0.774,14.9,52,4789,0
1.7.2026,49:01.0,0.762,44.1,54,7295,1
1.7.2026,44:43.8,0.985,43.3,58,7281,1
1.7.2026,14:57.6,0.809,20.3,49,5028,0
1.7.2026,58:47.8,0.79,94.1,59,7281,1
1.7.2026,48:04.7,0.716,27.3,50,7228,1
1.7.2026,00:43.2,0.657,19.3,53,5002,0
1.7.2026,15:40.7,0.719,100.0,62,7295,2
1.7.2026,38:38.2,0.747,32.7,53,4812,1
1.7.2026,45:44.1,0.709,48.3,54,7295,1
1.7.2026,43:41.6,0.704,19.7,47,7281,1
1.7.2026,15:49.8,0.751,18.8,54,4789,0
1.7.2026,18:04.3,0.792,20.5,55,4824,0
1.7.2026,01:19.3,0.826,24.2,56,4990,0
1.7.2026,11:52.6,0.885,100.0,92,7336,2
1.7.2026,59:00.9,0.825,16.9,55,5034,0
1.7.2026,54:20.0,0.828,36.8,60,4990,0
1.7.2026,52:14.0,0.662,42.5,50,7241,1
1.7.2026,40:02.6,0.669,37.9,51,5028,1
1.7.2026,19:00.5,0.699,17.7,52,4818,0
1.7.2026,54:02.5,0.991,42.3,54,7308,1
1.7.2026,23:13.2,0.897,90.2,61,4996,0
1.7.2026,14:26.6,0.722,100.0,70,7295,2
1.7.2026,47:56.7,0.667,20.2,48,7308,1
1.7.2026,55:10.2,0.834,27.9,69,5034,0
1.7.2026,58:33.7,1.0,59.9,75,7322,1
1.7.2026,57:12.6,0.939,20.1,59,5002,0
1.7.2026,40:00.6,0.68,36.5,51,5034,1
1.7.2026,21:31.0,0.729,100.0,66,7322,2
1.7.2026,53:11.9,1.0,66.0,74,4996,0
1.7.2026,54:48.7,1.001,35.7,58,7281,1
1.7.2026,10:58.5,0.952,100.0,100,7322,2
1.7.2026,14:37.6,0.844,27.8,56,5009,0
1.7.2026,44:45.8,0.98,68.5,62,7268,1
1.7.2026,15:32.7,0.705,100.0,63,7349,2
1.7.2026,24:39.4,0.654,32.1,56,4996,0
1.7.2026,04:41.9,0.662,11.2,50,4795,0
1.7.2026,13:59.4,0.869,20.9,58,4818,0
1.7.2026,11:09.0,0.798,26.3,51,4818,0
1.7.2026,16:07.0,0.694,100.0,62,7281,2
1.7.2026,06:28.1,0.881,31.6,50,4812,0
1.7.2026,42:57.3,0.692,24.3,52,5041,1
1.7.2026,47:20.5,0.667,30.4,47,7308,1
1.7.2026,58:06.7,0.999,23.2,61,5002,0
1.7.2026,18:36.9,0.768,100.0,68,7336,2
1.7.2026,04:53.9,0.859,39.2,54,4801,0
1.7.2026,52:46.2,0.694,19.5,49,7295,1
1.7.2026,01:11.3,0.872,22.5,64,5002,0
1.7.2026,21:38.9,0.746,35.6,58,5002,0
1.7.2026,26:17.7,0.702,21.9,57,4996,0
1.7.2026,19:40.6,0.751,33.0,54,4812,0
1.7.2026,44:41.8,0.688,37.2,48,7254,1
1.7.2026,57:26.1,0.989,66.1,77,7295,1
1.7.2026,58:02.7,0.889,27.0,69,4996,0
1.7.2026,46:12.3,0.662,35.8,50,7295,1
1.7.2026,21:14.9,0.761,34.1,58,4990,0
1.7.2026,13:47.4,0.846,27.3,61,4818,0
1.7.2026,25:03.5,0.777,12.5,52,5002,0
1.7.2026,58:22.8,0.743,38.0,58,5002,0
1.7.2026,44:15.7,0.977,33.5,51,7281,1
1.7.2026,58:56.9,0.857,19.3,58,5021,0
1.7.2026,19:02.8,0.782,100.0,70,7336,2
1.7.2026,41:45.1,0.959,22.6,59,5060,1
1.7.2026,16:11.9,0.922,27.1,58,4795,0
1.7.2026,43:35.6,0.669,17.3,47,7295,1
1.7.2026,19:35.1,0.769,100.0,69,7308,2
1.7.2026,48:34.8,0.959,97.3,73,7295,1
1.7.2026,44:33.8,0.667,30.3,46,7281,1
1.7.2026,39:58.6,0.714,46.2,52,5021,1
1.7.2026,05:09.9,0.731,17.3,51,4789,0
1.7.2026,51:27.7,1.018,11.2,52,4703,0
1.7.2026,18:00.3,0.829,24.6,55,4818,0
1.7.2026,00:55.2,0.819,13.2,51,4996,0
1.7.2026,39:14.4,0.918,23.7,56,5028,1
1.7.2026,39:00.3,0.926,55.7,71,4909,1
1.7.2026,54:06.6,0.724,48.0,52,7322,1
1.7.2026,57:23.4,0.664,58.0,55,7322,1
1.7.2026,51:05.7,0.986,37.2,65,7295,1
1.7.2026,12:56.6,0.874,100.0,83,7336,2
1.7.2026,18:54.8,0.792,100.0,70,7349,2
1.7.2026,16:50.0,0.676,19.4,51,4818,0
1.7.2026,39:08.3,0.664,57.0,56,5034,1
1.7.2026,28:04.0,0.659,20.9,52,5002,0
1.7.2026,08:56.6,0.74,20.0,51,4766,0
1.7.2026,11:18.6,0.806,100.0,97,7308,2
1.7.2026,22:13.0,0.816,22.5,55,5002,0
1.7.2026,12:24.6,0.887,100.0,87,7322,2
1.7.2026,47:52.7,0.663,29.8,49,7281,1
1.7.2026,03:07.6,0.752,10.9,52,4789,0
1.7.2026,30:22.3,0.863,30.5,51,4789,0
1.7.2026,16:19.9,0.804,17.0,51,4807,0
1.7.2026,07:04.3,0.689,9.6,48,4783,0
1.7.2026,45:40.1,0.934,16.8,53,7241,1
1.7.2026,17:36.7,0.754,100.0,64,7268,2
1.7.2026,01:37.3,0.664,13.4,50,4996,0
1.7.2026,52:34.1,0.666,37.9,48,7281,1
1.7.2026,54:32.1,0.977,10.4,57,5009,0
1.7.2026,28:14.1,0.657,57.6,54,4996,0
1.7.2026,55:04.2,0.872,11.2,54,5028,0
1.7.2026,04:43.9,0.866,12.9,51,4795,0
1.7.2026,29:44.2,0.745,32.0,54,4807,0
1.7.2026,46:30.3,0.718,30.2,49,7308,1
1.7.2026,26:25.7,0.755,28.4,65,4996,0
1.7.2026,42:59.4,0.991,21.4,56,5015,1
1.7.2026,16:26.0,0.901,14.4,51,4807,0
1.7.2026,54:52.1,0.909,25.0,66,4952,0
1.7.2026,53:33.9,0.823,65.7,67,5021,0
1.7.2026,17:20.1,0.928,36.0,61,4824,0
1.7.2026,03:19.7,0.662,46.0,53,4789,0
1.7.2026,29:56.3,0.81,18.0,51,4789,0
1.7.2026,13:36.6,0.8,100.0,79,7295,2
1.7.2026,30:20.3,0.805,30.1,50,4789,0
1.7.2026,25:35.6,0.734,30.5,54,4990,0
1.7.2026,20:54.8,0.814,49.3,57,4795,0
1.7.2026,19:10.9,0.759,100.0,70,7214,2
1.7.2026,05:46.0,0.858,11.3,49,4789,0
1.7.2026,22:27.1,0.804,22.7,53,4996,0
1.7.2026,52:26.1,0.736,22.4,48,7322,1
1.7.2026,47:22.6,0.754,22.9,47,7281,1
1.7.2026,54:50.7,0.823,26.8,64,7254,1
1.7.2026,57:57.6,0.908,66.1,65,7322,1
1.7.2026,50:55.6,1.007,38.8,61,7308,1
1.7.2026,12:04.6,0.875,100.0,92,7295,2
1.7.2026,21:26.9,0.742,46.5,60,4996,0
1.7.2026,50:39.6,0.768,42.3,56,7281,1
1.7.2026,29:22.2,0.668,11.4,48,5002,0
1.7.2026,18:26.4,0.909,19.4,61,4812,0
1.7.2026,21:55.0,0.824,39.2,58,4996,0
1.7.2026,09:38.7,0.689,14.8,48,4789,0
1.7.2026,50:45.6,0.667,38.6,51,7295,1
1.7.2026,09:54.8,0.904,40.8,58,4777,0
1.7.2026,15:59.1,0.674,100.0,61,7268,2
1.7.2026,17:30.7,0.75,100.0,65,7322,2
1.7.2026,21:18.9,0.704,43.6,66,4996,0
1.7.2026,26:59.8,0.851,37.7,62,5002,0
1.7.2026,11:33.0,0.901,30.5,57,4789,0
1.7.2026,12:20.6,0.833,100.0,88,7308,2
1.7.2026,09:02.6,0.701,17.7,50,4812,0
1.7.2026,06:34.1,0.672,42.0,50,4824,0
1.7.2026,21:19.0,0.759,100.0,65,7295,2
1.7.2026,03:51.7,0.661,10.5,53,4789,0
1.7.2026,56:47.2,0.744,44.6,56,7281,1
1.7.2026,51:19.7,0.661,43.2,54,7295,1
1.7.2026,53:07.9,0.996,32.0,71,4842,0
1.7.2026,49:31.2,0.689,46.3,53,7308,1
1.7.2026,58:57.8,0.831,59.3,60,7268,1
1.7.2026,46:28.3,1.001,38.4,61,7295,1
1.7.2026,40:50.7,0.659,29.2,53,5015,1
1.7.2026,12:54.6,0.831,100.0,85,7336,2
1.7.2026,42:39.2,0.99,55.1,62,5021,1
1.7.2026,13:18.6,0.786,100.0,81,7281,2
1.7.2026,27:15.9,0.865,32.0,57,4996,0
1.7.2026,20:45.1,0.737,100.0,66,7308,2
1.7.2026,17:24.7,0.739,100.0,63,7295,2
1.7.2026,57:05.3,0.841,51.9,57,7281,1
1.7.2026,15:46.9,0.669,100.0,61,7308,2
1.7.2026,57:52.7,0.802,37.6,57,4996,0
1.7.2026,17:22.1,0.741,56.2,58,4812,0
1.7.2026,11:49.1,0.742,33.8,59,4789,0
1.7.2026,22:35.1,0.816,26.9,52,4996,0
1.7.2026,08:40.5,0.724,18.8,51,4789,0
1.7.2026,04:37.9,0.663,19.6,50,4795,0
1.7.2026,28:02.0,0.772,42.1,56,4996,0
1.7.2026,10:00.8,0.741,21.5,55,4789,0
1.7.2026,51:47.7,0.969,72.5,71,4686,0
1.7.2026,59:38.0,1.042,40.7,64,7295,1
1.7.2026,09:48.8,0.721,24.6,48,4783,0
1.7.2026,05:32.0,0.689,11.2,51,4789,0
1.7.2026,57:38.6,0.781,33.9,58,4990,0
1.7.2026,52:39.8,1.0,69.9,76,4789,0
1.7.2026,56:48.5,0.746,17.6,58,5028,0
1.7.2026,18:24.4,0.907,29.8,57,4801,0
1.7.2026,13:50.6,0.788,100.0,74,7349,2
1.7.2026,22:07.0,0.815,17.9,55,4996,0
1.7.2026,01:21.3,0.882,17.9,54,4996,0
1.7.2026,41:35.0,0.827,26.1,57,5034,1
1.7.2026,10:58.9,0.918,26.5,51,4795,0
1.7.2026,52:59.8,0.824,44.8,62,4830,0
1.7.2026,53:23.9,0.821,27.9,65,5028,0
1.7.2026,42:43.3,0.729,27.0,51,5021,1
1.7.2026,13:08.6,0.819,100.0,84,7308,2
1.7.2026,22:29.1,0.737,20.8,53,4996,0
1.7.2026,28:46.1,0.899,21.5,56,4996,0
1.7.2026,52:50.2,0.684,24.1,49,7281,1
1.7.2026,19:50.6,0.66,24.5,52,4818,0
1.7.2026,19:18.5,0.719,19.7,53,4824,0
1.7.2026,12:32.7,0.869,100.0,92,7295,2
1.7.2026,56:26.4,0.815,15.9,62,4996,0
1.7.2026,11:14.6,0.861,100.0,93,7281,2
1.7.2026,27:09.9,0.656,27.8,54,5028,0
1.7.2026,09:12.6,0.99,24.8,61,4812,0
1.7.2026,43:25.5,0.732,36.8,52,7295,1
1.7.2026,47:10.5,0.667,34.0,48,7308,1
1.7.2026,59:35.1,0.655,15.6,61,5028,0
1.7.2026,47:58.7,0.666,29.1,48,7405,1
1.7.2026,27:50.0,0.781,24.4,54,4996,0
1.7.2026,09:36.7,0.768,14.5,48,4777,0
1.7.2026,46:44.3,1.001,27.0,61,7281,1
1.7.2026,10:42.8,0.866,23.5,52,4795,0
1.7.2026,49:59.4,0.704,45.8,53,7295,1
1.7.2026,51:41.6,0.749,18.8,55,4681,0
1.7.2026,19:16.8,0.777,100.0,68,7281,2
1.7.2026,20:11.0,0.752,100.0,67,7281,2
1.7.2026,29:04.2,0.819,20.6,49,5021,0
1.7.2026,03:47.7,0.809,28.4,53,4789,0
1.7.2026,47:02.4,0.668,17.2,48,7391,1
1.7.2026,59:07.9,0.772,100.0,61,7281,1
1.7.2026,17:08.9,0.752,100.0,63,7308,2
1.7.2026,53:16.4,0.764,25.7,48,7308,1
1.7.2026,24:15.4,0.789,66.3,67,5002,0
1.7.2026,07:16.3,0.759,12.3,49,4789,0
1.7.2026,47:40.6,0.677,27.2,49,7281,1
1.7.2026,13:32.6,0.815,100.0,77,7281,2
1.7.2026,14:15.5,0.823,22.9,55,4996,0
1.7.2026,27:32.0,0.884,30.5,63,4971,0
1.7.2026,53:46.5,1.001,66.6,76,7308,1
1.7.2026,55:10.8,0.892,28.6,54,7281,1
1.7.2026,03:33.7,0.826,17.6,53,4777,0
1.7.2026,00:03.2,0.829,24.5,55,5034,0
1.7.2026,49:45.3,0.664,34.6,49,7241,1
1.7.2026,43:43.6,0.684,18.2,47,7322,1
1.7.2026,11:11.0,0.764,13.6,48,4807,0
1.7.2026,19:04.5,0.747,11.5,53,4818,0
1.7.2026,23:37.2,0.719,12.8,49,4996,0
1.7.2026,12:02.6,0.912,100.0,91,7268,2
1.7.2026,05:24.0,0.773,15.9,53,4789,0
1.7.2026,51:51.7,0.744,38.6,55,4675,0
1.7.2026,47:34.6,0.697,44.8,53,7295,1
1.7.2026,06:22.1,0.768,17.2,49,4789,0
1.7.2026,55:59.0,0.772,46.9,55,7254,1
1.7.2026,14:42.6,0.712,100.0,64,7322,2
1.7.2026,53:37.9,0.824,52.5,68,5021,0
1.7.2026,03:17.7,0.917,21.4,55,4789,0
1.7.2026,47:36.7,0.662,28.9,50,7308,1
1.7.2026,52:05.8,0.75,33.1,53,4714,0
1.7.2026,41:14.9,0.667,42.1,54,5021,1
1.7.2026,56:11.1,0.722,45.8,54,7295,1
1.7.2026,30:44.4,0.791,13.0,47,4783,0
1.7.2026,11:38.5,0.871,100.0,91,7322,2
1.7.2026,20:44.8,0.781,43.3,60,4818,0
1.7.2026,05:36.0,0.676,10.2,50,4789,0
1.7.2026,17:12.1,0.901,25.1,61,4789,0
1.7.2026,10:08.8,0.921,31.4,56,4795,0
1.7.2026,56:28.4,0.987,14.6,61,4990,0
1.7.2026,57:48.7,0.653,36.7,58,4983,0
1.7.2026,20:40.8,0.839,28.2,59,4789,0
1.7.2026,46:00.2,0.999,35.7,63,7295,1
1.7.2026,18:05.0,0.778,100.0,67,7295,2
1.7.2026,21:41.0,0.749,100.0,65,7281,2
1.7.2026,01:15.3,0.837,25.5,56,5002,0
1.7.2026,58:00.7,0.737,26.6,57,4983,0
1.7.2026,21:23.0,0.773,100.0,66,7295,2
1.7.2026,40:14.6,0.664,20.6,51,5028,1
1.7.2026,21:09.1,0.741,100.0,65,7295,2
1.7.2026,57:26.6,0.716,14.5,54,5002,0
1.7.2026,15:09.7,0.774,25.1,49,5021,0
1.7.2026,26:43.8,0.851,56.3,61,4990,0
1.7.2026,14:41.6,0.729,12.7,50,4996,0
